category,name,description,price,calories
Kids Meals,Kids Penne:Kids Penne Garlic Butter & Kids Blue Raspberry Lemon Ice,Kids Penne with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Tortellini:Kids Tortellini Meat Sauce & Apple Juice,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Meat Sauce & Chocolate Milk,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Meat Sauce & Kids Soft Drink,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Marinara & Milk,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Marinara & Chocolate Milk,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Pepperoni Pizza Slice:Kids Strawberry Lemon Ice,Slice of Pepperoni Pizza and drink.,$3.99 ,290 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti Meat Sauce & Apple Juice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Penne:Kids Penne Garlic Butter & Kids Original Lemon Ice,Kids Penne with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Tortellini:Kids Tortellini Meat Sauce & Bottled Water,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Meat Sauce & Apple Juice,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Meat Sauce & Milk,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Marinara & Apple Juice,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti Meat Sauce & Bottled Water,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti Meat Sauce & Kids Blue Raspberry Lemon Ice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Penne:Kids Penne Garlic Butter & Kids Strawberry Lemon Ice,Kids Penne with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Tortellini:Kids Tortellini Meat Sauce & Kids Blue Raspberry Lemon Ice,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Meat Sauce & Bottled Water,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Ravioli:Kids Ravioli Meat Sauce & Chocolate Milk,Kids Ravioli with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Marinara & Bottled Water,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti Meat Sauce & Kids Original Lemon Ice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Penne:Kids Penne No Sauce & Kids Soft Drink,Kids Penne with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Penne:Kids Penne No Sauce & Milk,Kids Penne with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Tortellini:Kids Tortellini Meat Sauce & Kids Original Lemon Ice,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Tortellini:Kids Tortellini Meat Sauce & Kids Strawberry Lemon Ice,Kids Tortellini with choice of sauce and drink.,,180-270 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Meat Sauce & Kids Blue Raspberry Lemon Ice,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
