name,id,category,description,price,calories,url
Make it a Meal,16245344,Sides + Extras,Add a Small Drink & Pizza Slice or House/Caesar Side Salad to Any Entree.,$3.29,,https://order.fazolis.com/menu/council-bluffs-ia
Meatball da Vinci,16241463,Subs + Salads,"Fazoli's Famous Meatballs, Pepperoni, and melted sliced Mozzarella cheese on a toasted Garlic Roll.",$7.29,,https://order.fazolis.com/menu/council-bluffs-ia
Milk,16249016,Drinks + Desserts,,$1.09,,https://order.fazolis.com/menu/council-bluffs-ia
New York Style Cheesecake,16252410,Drinks + Desserts,Graham cracker crust filled with rich and creamy New York Style Cheesecake and Strawberry Topping.,$2.99,,https://order.fazolis.com/menu/council-bluffs-ia
Oven-Baked Classic Sampler,16238199,Pasta Samplers,"Fettuccine Alfredo, Lasagna with Meat Sauce, Spaghetti and Meatball baked with Mozzarella & Provolone Cheeses.",$8.79,,https://order.fazolis.com/menu/council-bluffs-ia
Penne,16237179,Fan Favorites,Penne + Sauce,,,https://order.fazolis.com/menu/council-bluffs-ia
Penne Creamy Basil Chicken,16238607,Signature Bakes,"Chicken, Roasted Grape Tomatoes, Alfredo Sauce, Creamy Basil Sauce, Mozzarella, Provolone and Parmesan Cheeses.",$7.99,,https://order.fazolis.com/menu/council-bluffs-ia
"Pepperoni Pizza, Double Slice",16240647,Pizzas,"2 Slices of Pizza Topped with Fazoli's Pizza Sauce, Pepperoni and a blend of Mozzarella and Provolone Cheeses.",$4.99,,https://order.fazolis.com/menu/council-bluffs-ia
Ravioli,16237383,Fan Favorites,Ravioli + Sauce,,,https://order.fazolis.com/menu/council-bluffs-ia
Side of Sauce=>Side of Alfredo Sauce,16246568,Sides + Extras,,$0.50,,https://order.fazolis.com/menu/council-bluffs-ia
Side of Sauce=>Side of Creamy Basil Sauce,16246568,Sides + Extras,,$0.50,,https://order.fazolis.com/menu/council-bluffs-ia
Side of Sauce=>Side of Garlic Butter,16246568,Sides + Extras,,$0.50,,https://order.fazolis.com/menu/council-bluffs-ia
Side of Sauce=>Side of Marinara Sauce,16246568,Sides + Extras,,$0.50,,https://order.fazolis.com/menu/council-bluffs-ia
Side of Sauce=>Side of Meat Sauce,16246568,Sides + Extras,,$0.50,,https://order.fazolis.com/menu/council-bluffs-ia
Side of Sauce=>Side of Spicy Tomato Pepper Sauce,16246568,Sides + Extras,,$0.50,,https://order.fazolis.com/menu/council-bluffs-ia
Six Extra Breadsticks,16234527,Family Meals/Sides + Extras,Six Extra Signature Garlic Breadsticks,$3.00,,https://order.fazolis.com/menu/council-bluffs-ia
Small Spaghetti with Meat Sauce,16235751,Fan Favorites,,$4.99,,https://order.fazolis.com/menu/council-bluffs-ia
Smoky Bacon Breadstick Bites,16250410,New Items and Specials,A cheesy pull-apart breadstick made with Mozzarella and Chopped Bacon. Served with Smoky Gouda dipping sauce.,$2.99,,https://order.fazolis.com/menu/council-bluffs-ia
Smoky Bacon Pasta Bake,16250794,New Items and Specials,"Orecchiette pasta topped with a creamy, smoky gouda sauce and chopped bacon, then baked with gouda and mozzarella cheeses.",$5.99,,https://order.fazolis.com/menu/council-bluffs-ia
Smoky Chicken Carbonara Bake,16250030,New Items and Specials,"Spaghetti topped with smoky gouda cheese sauce, chopped bacon, blackened chicken, roasted broccoli and fire-roasted red peppers. Baked with Mozzarella and Gouda cheeses.",$8.49,,https://order.fazolis.com/menu/council-bluffs-ia
Soft Drinks,16247792,Drinks + Desserts,Additional beverage choices vary by location,,,https://order.fazolis.com/menu/council-bluffs-ia
Spaghetti,16236771,Fan Favorites,Spaghetti + Sauce,,,https://order.fazolis.com/menu/council-bluffs-ia
Spaghetti with Marinara,16235955,Fan Favorites/Vegetarian Options,,$6.79,,https://order.fazolis.com/menu/council-bluffs-ia
Spaghetti with Meat Sauce,16235547,Fan Favorites,,$6.79,,https://order.fazolis.com/menu/council-bluffs-ia
Spaghetti with Meatballs,16236363,Fan Favorites,,$7.79,,https://order.fazolis.com/menu/council-bluffs-ia
Spicy Penne with Chicken,16239219,Signature Bakes,"Penne covered in Spicy Tomato Pepper Sauce, with Roasted Chicken, Fresh Spinach, Crushed Calabrian Pepper, Garlic Roasted Mushroom, Mozzarella and Provolone Cheeses.",$7.99,,https://order.fazolis.com/menu/council-bluffs-ia
Spicy Sausage Penne,16239015,Signature Bakes,"Penne covered in Spicy Tomato Pepper sauce with Spicy Sausage, Garlic-Roasted Mushrooms, Fresh Spinach, Crushed Calabrian Pepper, Mozzarella and Provolone Cheeses.",$7.99,,https://order.fazolis.com/menu/council-bluffs-ia
S’mores Breadstick Bites,16250604,New Items and Specials,"Shareable dessert made from Fazoli’s breadsticks tossed in brown sugar, cinnamon, graham cracker crumbs and topped with toasted marshmallows and melted chocolate.",$2.99,,https://order.fazolis.com/menu/council-bluffs-ia
The Primo Italiano,16241259,Subs + Salads,"Genoa Salami, seasoned Capicola, and baked Ham with sliced Mozzarella, tomatoes, red onion, shredded lettuce and pepperoncini topped with Red Wine Balsamic Vinaigrette served on a toasted Garlic Roll.",$7.29,,https://order.fazolis.com/menu/council-bluffs-ia
Three Cheese Tortellini,16239627,Specialty Pastas,"Tortellini Pasta stuffed with Ricotta, Parmesan, and Romano Cheeses, topped with Oven-Roasted Chicken, Bacon, Peas, and Roasted Grape Tomatoes and finished with shaved Parmesan cheese.",$7.99,,https://order.fazolis.com/menu/council-bluffs-ia
Tortellini,16237587,Fan Favorites,Tortellini + Sauce,,,https://order.fazolis.com/menu/council-bluffs-ia
Triple Chocolate Cheesecake,16252604,Drinks + Desserts,Rich Dark Chocolate Cheesecake loaded with Chocolate Chips and topped with a layer of Chocolate Ganache. Served with HERSHEY'S® Chocolate Sauce.,$2.99,,https://order.fazolis.com/menu/council-bluffs-ia
Turkey Club Classico,16241667,Subs + Salads,"Smoked Turkey, baked Ham, Bacon, sliced Mozzarella, Tomato, Red Onion, Shredded Lettuce and Parmesan Peppercorn Ranch on a toasted Garlic Roll.",$7.29,,https://order.fazolis.com/menu/council-bluffs-ia
Twelve Extra Breadsticks,16246364,Sides + Extras,Twelve Extra Signature Garlic Breadsticks,$5.00,,https://order.fazolis.com/menu/council-bluffs-ia
Two Extra Breadsticks,16245956,Sides + Extras,Two Extra Signature Garlic Breadsticks,$1.00,,https://order.fazolis.com/menu/council-bluffs-ia
Ultimate Fettuccine,16240239,Specialty Pastas,"Alfredo Sauce, Chicken, Bacon, Garlic-Roasted Mushrooms, Broccoli",$7.99,,https://order.fazolis.com/menu/council-bluffs-ia
Ultimate Sampler,16238403,Pasta Samplers,"Fettuccine Alfredo, Penne with Meat Sauce, Spaghetti and Meatball, Lasagna with Meat Sauce.",$8.29,,https://order.fazolis.com/menu/council-bluffs-ia
Ultimate Spaghetti,16240035,Specialty Pastas,"Marinara, Meatballs, Sausage, Bacon, Garlic-Roasted Mushrooms",$7.99,,https://order.fazolis.com/menu/council-bluffs-ia
Whole Cheese Pizza,16240851,Pizzas/Vegetarian Options,Topped with Fazoli's Pizza Sauce and a blend of Mozzarella and Provolone Cheeses. Includes 8 Breadsticks.,$10.99,,https://order.fazolis.com/menu/council-bluffs-ia
Whole Grain Rotini,16237791,Fan Favorites,Whole Grain Rotini + Sauce,,,https://order.fazolis.com/menu/council-bluffs-ia
Whole Pepperoni Pizza,16241055,Pizzas,"Topped with Fazoli's Pizza Sauce, Pepperoni and a blend of Mozzarella and Provolone Cheeses. Includes 8 Breadsticks.",$10.99,,https://order.fazolis.com/menu/council-bluffs-ia
