Fazoli's  3134 Dial Dr  Council Bluffs  IA 51501  USA
Timing: 10:30AM - 9:30PM

Name,ID,Category,Description,Price,Calories,Suggested Item
Chicken Carbonara=>Spaghetti,48608263.0,Popular Items/Specialty Pastas,"Alfredo, chicken, bacon, parmesan-roasted broccoli, peas. ( ",7.99,880,6 Breadsticks; 12 Breadsticks; 2 Breadsticks
Chicken Carbonara=>Whole Grain Rotini,48608263.0,Popular Items/Specialty Pastas,"Alfredo, chicken, bacon, parmesan-roasted broccoli, peas. ( ",7.99,880,6 Breadsticks; 12 Breadsticks; 2 Breadsticks
Chocolate Chunk Cookie or Brownie=>Brownie,48608355.0,Desserts,( ,1.49,380/240,6 Breadsticks; 12 Breadsticks; 2 Breadsticks
Chocolate Chunk Cookie or Brownie=>Cookie,48608355.0,Desserts,( ,1.49,380/240,6 Breadsticks; 12 Breadsticks; 2 Breadsticks
Chocolate Milk,48608412.0,Drinks + Italian Ice,( ,1.09,180,15. Oven-Baked Classic; 10. Creamy Basil Chicken Penne; 12. Baked Chicken Parmigiano
Double Slice=>Cheese,48608377.0,Popular Items/Pizzas,2 slices of pizza topped with Fazoli's pizza sauce and a blend of mozzarella and provolone cheeses. ( ,4.99,560/590,07. Baked Lasagna; 12. Baked Chicken Parmigiano; 15. Oven-Baked Classic
Double Slice=>Pepperoni,48608377.0,Popular Items/Pizzas,2 slices of pizza topped with Fazoli's pizza sauce and a blend of mozzarella and provolone cheeses. ( ,4.99,560/590,07. Baked Lasagna; 12. Baked Chicken Parmigiano; 15. Oven-Baked Classic
Extra Cheese,66848104.0,Extras,,0.5,,04. Chicken Fettuccine Alfredo; 6 Breadsticks; 2 Breadsticks
House Side Salad,48608369.0,Salads,"Grape tomatoes, red onion, shredded mozzarella, served with your choice of dressing. Vegetarian Friendly ( ",2.49,70,03. Fettuccine Alfredo; 07. Baked Lasagna; 15. Oven-Baked Classic
Italian Ice=>Blue Raspberry,48608416.0,Drinks + Italian Ice,"Original Lemon, Strawberry, Blue Raspberry (  ( ",2.59,250-340,07. Baked Lasagna; 12. Baked Chicken Parmigiano; 15. Oven-Baked Classic
Italian Ice=>Original Lemon,48608416.0,Drinks + Italian Ice,"Original Lemon, Strawberry, Blue Raspberry (  ( ",2.59,250-340,07. Baked Lasagna; 12. Baked Chicken Parmigiano; 15. Oven-Baked Classic
Italian Ice=>Strawberry,48608416.0,Drinks + Italian Ice,"Original Lemon, Strawberry, Blue Raspberry (  ( ",2.59,250-340,07. Baked Lasagna; 12. Baked Chicken Parmigiano; 15. Oven-Baked Classic
Meatball Da Vinci,48608372.0,Popular Items/Primo Submarinos,"Meatballs, pepperoni, mozzarella. ( ",7.29,920,04. Chicken Fettuccine Alfredo; 15. Oven-Baked Classic; 12 Breadsticks
Pasta Your Way=>Fettuccine,48608418.0,Pasta Your Way,,6.79,,2 Breadsticks; 03. Fettuccine Alfredo; 07. Baked Lasagna
Pasta Your Way=>Penne,48608418.0,Pasta Your Way,,6.79,,2 Breadsticks; 03. Fettuccine Alfredo; 07. Baked Lasagna
Pasta Your Way=>Ravioli,48608418.0,Pasta Your Way,,6.79,,2 Breadsticks; 03. Fettuccine Alfredo; 07. Baked Lasagna
Pasta Your Way=>Spaghetti,48608418.0,Pasta Your Way,,6.79,,2 Breadsticks; 03. Fettuccine Alfredo; 07. Baked Lasagna
Pasta Your Way=>Tortellini,48608418.0,Pasta Your Way,,6.79,,2 Breadsticks; 03. Fettuccine Alfredo; 07. Baked Lasagna
Pasta Your Way=>Whole Grain Rotini,48608418.0,Pasta Your Way,,6.79,,2 Breadsticks; 03. Fettuccine Alfredo; 07. Baked Lasagna
Soft Drinks=>Coke,48608417.0,Drinks + Italian Ice,We have a variety of Coca-Cola drinks available in the restaurant.,2.09,,07. Baked Lasagna; 12. Baked Chicken Parmigiano; 15. Oven-Baked Classic
Soft Drinks=>Diet Coke,48608417.0,Drinks + Italian Ice,We have a variety of Coca-Cola drinks available in the restaurant.,2.09,,07. Baked Lasagna; 12. Baked Chicken Parmigiano; 15. Oven-Baked Classic
Soft Drinks=>Sprite,48608417.0,Drinks + Italian Ice,We have a variety of Coca-Cola drinks available in the restaurant.,2.09,,07. Baked Lasagna; 12. Baked Chicken Parmigiano; 15. Oven-Baked Classic
The Primo Italiano,48608371.0,Primo Submarinos,"Genoa salami, capicola, ham, mozzarella, tomatoes, red onion, pepperoncini, lettuce, red wine balsamic vinaigrette.  ( ",7.29,840,03. Fettuccine Alfredo; 15. Oven-Baked Classic; 2 Breadsticks
Three-Cheese Tortellini Alfredo=>Fettuccinne,48608260.0,Specialty Pastas,"Alfredo, chicken, bacon, grape tomatoes, peas. ( ",7.99,840,6 Breadsticks; 02. Spaghetti with Meatballs; 12 Breadsticks
Three-Cheese Tortellini Alfredo=>Penne,48608260.0,Specialty Pastas,"Alfredo, chicken, bacon, grape tomatoes, peas. ( ",7.99,840,6 Breadsticks; 02. Spaghetti with Meatballs; 12 Breadsticks
