Fazoli's  13201 Ranch Road 620 N Suite S  Austin  TX 78717
Timing: 3:00PM - 9:30PM

Name,ID,Category,Description,Price,Calories,Suggested Item
Apple Juice,104413287.0,Drinks and Italian Ice, ,1.49,80,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Chicken Bacon Caesar']"
Baked Chicken Parmigiano,104413244.0,Popular Items/Signature Pasta Bakes,"Spaghetti covered in Marinara Sauce with Crispy Chicken Breast covered with more Marinara Sauce, Mozzarella and Provolone Cheeses and baked.  ",8.49,690,"['Meatballs', 'Italian Sausage', 'Extra Breadsticks (Half Dozen)']"
Baked Lasagna,104413278.0,Popular Items/Fazoli's Fan Favorites,Lasagna layered with Meat Sauce and Mozzarella and Provolone Cheeses.  ,8.49,630,"['Meatballs', 'Broccoli', 'Extra Breadsticks (Half Dozen)']"
Baked Spaghetti,104413277.0,Fazoli's Fan Favorites,"Spaghetti with Marinara Sauce loaded with Mozzarella Cheese and baked to a golden, bubbly perfection. Vegetarian friendly.   ",7.49,470,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Baked Spaghetti with Meatballs,104413281.0,Fazoli's Fan Favorites,"Spaghetti with Marinara Sauce loaded with Mozzarella Cheese and baked to a golden, bubbly perfection topped with Meatballs.  ",8.49,690,"['Triple Chocolate Cheesecake', 'Caesar Side Salad', 'Extra Breadsticks (Half Dozen)']"
Baked Ziti,104413285.0,Fazoli's Fan Favorites,"Penne with Marinara and Meat Sauce topped with Mozzarella and Provolone Cheeses and baked to a golden, bubbly perfection.  ",7.99,570,"['Triple Chocolate Cheesecake', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Bottled Water,104413288.0,Drinks and Italian Ice,,2.29,,"['Garlic-Roasted Mushrooms', 'Italian Sausage', 'Broccoli']"
Broccoli,104413267.0,Sides and Extras,,1.5,,"['Italian Sausage', 'Roasted Chicken', 'Meatballs']"
Caesar Side Salad,104413273.0,Salads,"Parmesan croutons, Cesar dressing.  ",2.79,80,"['Chicken Bacon Caesar', 'Chocolate Chunk Brownie', 'Extra Breadsticks (Half Dozen)']"
Chicken Bacon Caesar,104413272.0,Salads,Parmesan romaine chicken bacon grope tomato Caesar dressing.  ,7.89,620,"['Caesar Side Salad', 'Extra Breadsticks (Half Dozen)', 'Chocolate Chunk Brownie']"
Chicken Broccoli Penne,104413245.0,Signature Pasta Bakes,"Alfredo, chicken, parmesan-roasted broccoli, tomatoes.  ",8.49,800,"['Chicken Bacon Caesar', 'Garlic-Roasted Mushrooms', 'Extra Breadsticks (Half Dozen)']"
Chicken Carbonara,104413238.0,Popular Items/Specialty Pastas,"Alfredo chicken bacon Parmesan-roosted broccoli, peas.  ",8.49,880,"['Chicken Bacon Caesar', 'Triple Chocolate Cheesecake', 'Extra Breadsticks (Half Dozen)']"
Chicken Fettuccine Alfredo,104413284.0,Fazoli's Fan Favorites,Fettuccine Topped with Creamy Alfredo and House-Roasted Chicken.  ,7.89,810,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Chocolate Chunk Brownie,104413295.0,Desserts,Chewy Chocolate Brownie made with Ghirardelli Chocolate.,1.69,,"['Garlic-Roasted Mushrooms', 'Caesar Side Salad', 'Extra Breadsticks (Half Dozen)']"
Chocolate Chunk Cookie,104413298.0,Desserts,Soft and chewy Chocolate Chunk Cookies.,1.69,,"['Triple Chocolate Cheesecake', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Classic Sampler,104413293.0,Samplers,"Fettuccine alfredo, lasagna with meat sauce, spaghetti and meatball.  ",7.99,820,"['Extra Breadsticks (Half Dozen)', 'Broccoli', 'Garlic-Roasted Mushrooms']"
Creamy Basil Chicken Penne:Chicken,104413243.0,Popular Items/Signature Pasta Bakes,"Pesto alfredo, chicken, roasted tomatoes.  ",8.49,840,"['Triple Chocolate Cheesecake', 'Italian Sausage', 'Extra Breadsticks (Half Dozen)']"
Creamy Basil Chicken Penne:Sausage,104413243.0,Popular Items/Signature Pasta Bakes,"Pesto alfredo, chicken, roasted tomatoes.  ",8.49,840,"['Triple Chocolate Cheesecake', 'Italian Sausage', 'Extra Breadsticks (Half Dozen)']"
Double Slice of Pizza:Cheese,104413248.0,Pizza,Cheese or pepperoni.,5.29,,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Double Slice of Pizza:Pepperoni,104413248.0,Pizza,Cheese or pepperoni.,5.29,,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Extra Breadsticks (Dozen),104413265.0,Sides and Extras,,5.29,,"['Triple Chocolate Cheesecake', 'Meatballs', 'Extra Breadsticks (Half Dozen)']"
Extra Breadsticks (Half Dozen),104413264.0,Sides and Extras,,3.29,,"['Triple Chocolate Cheesecake', 'Caesar Side Salad', 'Meatballs']"
Fettuccine Alfredo,104413280.0,Popular Items/Fazoli's Fan Favorites,Fettuccine pasta topped with Alfredo Sauce. Vegetarian friendly.  ,6.89,690,"['Meatballs', 'Broccoli', 'Extra Breadsticks (Half Dozen)']"
Garlic-Roasted Mushrooms,104413266.0,Sides and Extras,,1.5,,"['Extra Breadsticks (Dozen)', 'Chicken Bacon Caesar', 'Extra Breadsticks (Half Dozen)']"
House Side Salad,104413275.0,Salads,Grape tomatoes red onion shredded mozzarella served with your choice of dressing.  ,2.79,70,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Italian Ice:Blue Raspberry,104413289.0,Drinks and Italian Ice,,2.69,,"['Triple Chocolate Cheesecake', 'Meatballs', 'Extra Breadsticks (Half Dozen)']"
Italian Ice:Original Lemon,104413289.0,Drinks and Italian Ice,,2.69,,"['Triple Chocolate Cheesecake', 'Meatballs', 'Extra Breadsticks (Half Dozen)']"
Italian Ice:Strawberry,104413289.0,Drinks and Italian Ice,,2.69,,"['Triple Chocolate Cheesecake', 'Meatballs', 'Extra Breadsticks (Half Dozen)']"
Italian Sausage,104413268.0,Sides and Extras,,1.5,,"['Chocolate Chunk Brownie', 'Triple Chocolate Cheesecake', 'Meatballs']"
Meatball DA Vinci,104413252.0,Popular Items/Primo Submarines,Meatbolls. Pepperoni mozzarella.  ,7.49,920,"['Meatballs', 'Italian Sausage', 'Extra Breadsticks (Half Dozen)']"
Meatballs,104413269.0,Sides and Extras,,1.5,,"['Triple Chocolate Cheesecake', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Milk:Chocolate,104413286.0,Drinks and Italian Ice,,1.49,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Milk:White,104413286.0,Drinks and Italian Ice,,1.49,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
New York Style Cheesecake:New York Style,104413296.0,Desserts,Graham Cracker Crust with rich and creamy New York Style Cheesecake and Strawberry Topping.,3.29,,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
New York Style Cheesecake:Triple Chocolate,104413296.0,Desserts,Graham Cracker Crust with rich and creamy New York Style Cheesecake and Strawberry Topping.,3.29,,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Oven-Baked Classic Sampler,104413292.0,Popular Items/Samplers,"Fettuccine alfredo, lasagna with meat sauce, spaghetti meatball, baked with mozzarella and provolone cheeses.  ",8.49,930,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Pasta Your Way:Fettuccine (410 Cal) & Alfredo (280 Cal),104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Pasta Your Way:Fettuccine (410 Cal) & Creamy Basil (360 Cal),104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Pasta Your Way:Fettuccine (410 Cal) & Marinara (100 Cal,104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Pasta Your Way:Fettuccine (410 Cal) & Meat Sauce (200 Cal),104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Pasta Your Way:Fettuccine (410 Cal) & Spicy Tomato Pepper (190 Cal),104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Pasta Your Way:Penne (410 Cal) & Alfredo (280 Cal),104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Pasta Your Way:Penne (410 Cal) & Creamy Basil (360 Cal),104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Pasta Your Way:Penne (410 Cal) & Marinara (100 Cal,104413237.0,Pasta Your Way,Your choice of pasta and sauce.,6.89,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
