Category,Sub Category,Name,Description,Nutritional value,Allergens
Beverages,Soft Drinks,Barq’s® Rootbeer,,"{'Serving Size': '30oz', 'Calories': '280', 'Calories from Fat': '0', 'Fat': '0g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '70mg', 'Carbohydrates': '75g', 'Dietary Fiber': '0g', 'Sugars': '75g', 'Protein': '0g'}",
Beverages,Soft Drinks,Sprite®,,"{'Serving Size': '30oz', 'Calories': '240', 'Calories from Fat': '0', 'Fat': '0g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '60mg', 'Carbohydrates': '65g', 'Dietary Fiber': '0g', 'Sugars': '65g', 'Protein': '0g'}",
Beverages,Soft Drinks,Coca-Cola Zero™,,"{'Serving Size': '30oz', 'Calories': '0', 'Calories from Fat': '0', 'Fat': '0g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '20mg', 'Carbohydrates': '0g', 'Dietary Fiber': '0g', 'Sugars': '0g', 'Protein': '0g'}",
Beverages,Soft Drinks,Diet Coke®,,"{'Serving Size': '30oz', 'Calories': '0', 'Calories from Fat': '0', 'Fat': '0g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '35mg', 'Carbohydrates': '0g', 'Dietary Fiber': '0g', 'Sugars': '0g', 'Protein': '0g'}",
Beverages,Soft Drinks,Coca-Cola®,,"{'Serving Size': '30oz', 'Calories': '250', 'Calories from Fat': '0', 'Fat': '0g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '15mg', 'Carbohydrates': '68g', 'Dietary Fiber': '0g', 'Sugars': '68g', 'Protein': '0g'}",
Beverages,Soft Drinks,Gold Peak® Iced Tea,,"{'Serving Size': '30oz', 'Calories': '10', 'Calories from Fat': '0', 'Fat': '0g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '10mg', 'Carbohydrates': '0g', 'Dietary Fiber': '0g', 'Sugars': '0g', 'Protein': '0g'}",
Beverages,Soft Drinks,FUZE® Raspberry Tea,,"{'Serving Size': '30oz', 'Calories': '150', 'Calories from Fat': '0', 'Fat': '0g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '25mg', 'Carbohydrates': '40g', 'Dietary Fiber': '0g', 'Sugars': '40g', 'Protein': '0g'}",
Desserts,,Chocolate Cake,,"{'Serving Size': '85g', 'Calories': '290', 'Calories from Fat': '100', 'Fat': '11g', 'Saturated Fat': '3.5g', 'Trans Fat': '0g', 'Cholesterol': '30mg', 'Sodium': '240mg', 'Carbohydrates': '46g', 'Dietary Fiber': '1g', 'Sugars': '35g', 'Protein': '3g'}","Egg, Milk, Soy, Wheat"
Desserts,,Strawberry Swirl Cheesecake,,"{'Serving Size': '99g', 'Calories': '320', 'Calories from Fat': '160', 'Fat': '17g', 'Saturated Fat': '10g', 'Trans Fat': '0.5g', 'Cholesterol': '60mg', 'Sodium': '250mg', 'Carbohydrates': '35g', 'Dietary Fiber': '1g', 'Sugars': '23g', 'Protein': '7g'}","Egg, Milk, Soy, Wheat"
Desserts,,Chocolate Chip Cookies,,"{'Serving Size': '71g', 'Calories': '330', 'Calories from Fat': '150', 'Fat': '17g', 'Saturated Fat': '9g', 'Trans Fat': '0g', 'Cholesterol': '20mg', 'Sodium': '280mg', 'Carbohydrates': '43g', 'Dietary Fiber': '2g', 'Sugars': '24g', 'Protein': '3g'}","Egg, Milk, Soy, Wheat"
Desserts,,Coke Float,Creamy hand-scooped vanilla ice cream covered with bubbly Coca-Cola to create the ultimate in classic summer treats!,"{'Serving Size': '408g', 'Calories': '380', 'Calories from Fat': '120', 'Fat': '14g', 'Saturated Fat': '9g', 'Trans Fat': '0g', 'Cholesterol': '55mg', 'Sodium': '65mg', 'Carbohydrates': '62g', 'Dietary Fiber': '0g', 'Sugars': '56g', 'Protein': '5g'}",
Sides,,Fried Zucchini,"Bites of Crispy, Breaded Zucchini.","{'Serving Size': '139g', 'Calories': '330', 'Calories from Fat': '160', 'Fat': '18g', 'Saturated Fat': '3g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '610mg', 'Carbohydrates': '36g', 'Dietary Fiber': '2g', 'Sugars': '7g', 'Protein': '6g'}","Milk, Wheat"
Sides,,Onion Rings,Onion rings cooked up crispy and golden brown.,"{'Serving Size': '128g', 'Calories': '530', 'Calories from Fat': '250', 'Fat': '28g', 'Saturated Fat': '4.5g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '590mg', 'Carbohydrates': '61g', 'Dietary Fiber': '3g', 'Sugars': '6g', 'Protein': '8g'}","Milk, Wheat"
Sides,,CrissCut® Fries,Crispy Bites of Crisscut Potatoes.,"{'Serving Size': '139g', 'Calories': '450', 'Calories from Fat': '260', 'Fat': '29g', 'Saturated Fat': '5g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '900mg', 'Carbohydrates': '42g', 'Dietary Fiber': '4g', 'Sugars': '0g', 'Protein': '5g'}",Wheat
Sides,,Natural-Cut French Fries - Large,"Premium-quality, skin-on, Natural Cut French Fries.","{'Serving Size': '158g', 'Calories': '460', 'Calories from Fat': '200', 'Fat': '22g', 'Saturated Fat': '4g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '920mg', 'Carbohydrates': '59g', 'Dietary Fiber': '6g', 'Sugars': '0g', 'Protein': '5g'}",
Sides,,Natural-Cut French Fries - Medium,"Premium-quality, Skin-on, Natural Cut French Fries.","{'Serving Size': '147g', 'Calories': '430', 'Calories from Fat': '190', 'Fat': '21g', 'Saturated Fat': '4g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '860mg', 'Carbohydrates': '55g', 'Dietary Fiber': '5g', 'Sugars': '0g', 'Protein': '5g'}",
Sides,,Natural-Cut French Fries - Small,"Premium-quality, Skin-on, Natural Cut French Fries.","{'Serving Size': '104g', 'Calories': '300', 'Calories from Fat': '130', 'Fat': '15g', 'Saturated Fat': '2.5g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '600mg', 'Carbohydrates': '39g', 'Dietary Fiber': '4g', 'Sugars': '0g', 'Protein': '3g'}",
Salads,,Low Fat Balsamic Dressing,,"{'Serving Size': '57g', 'Calories': '35', 'Calories from Fat': '15', 'Fat': '1.5g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '480mg', 'Carbohydrates': '5g', 'Dietary Fiber': '0g', 'Sugars': '3g', 'Protein': '0g'}",
Salads,,House Dressing,,"{'Serving Size': '57g', 'Calories': '220', 'Calories from Fat': '200', 'Fat': '22g', 'Saturated Fat': '3.5g', 'Trans Fat': '0g', 'Cholesterol': '20mg', 'Sodium': '440mg', 'Carbohydrates': '3g', 'Dietary Fiber': '0g', 'Sugars': '2g', 'Protein': '1g'}","Egg, Milk"
Salads,,Side Salad,"Red Onion, Tomato, 4-Cheese blend, and Croutons on a bed of Iceberg lettuce. Served with a choice of House or Balsamic Vinaigrette Dressing","{'Serving Size': '193g', 'Calories': '140', 'Calories from Fat': '60', 'Fat': '7g', 'Saturated Fat': '2.5g', 'Trans Fat': '0g', 'Cholesterol': '10mg', 'Sodium': '240mg', 'Carbohydrates': '15g', 'Dietary Fiber': '2g', 'Sugars': '2g', 'Protein': '6g'}",
Salads,,Charbroiled Chicken Salad,"All-Natural Charbroiled Chicken Breast, Red Onion, Tomato, 4-Cheese blend, and Croutons on a bed of Iceberg lettuce. Served with a choice of House or Balsamic Vinaigrette Dressing","{'Serving Size': '293g', 'Calories': '280', 'Calories from Fat': '80', 'Fat': '9g', 'Saturated Fat': '2g', 'Trans Fat': '0g', 'Cholesterol': '120mg', 'Sodium': '950mg', 'Carbohydrates': '19g', 'Dietary Fiber': '2g', 'Sugars': '6g', 'Protein': '32g'}",
All Star Meals,,Triple Cheeseburger & Spicy Chicken All Star Meal,"Charbroiled triple cheeseburger, fries, small drink and a fresh-baked chocolate chip cookie.","{'Serving Size': '0g', 'Calories': '0', 'Calories from Fat': '0', 'Fat': '0g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '0mg', 'Carbohydrates': '0g', 'Dietary Fiber': '0g', 'Sugars': '0g', 'Protein': '0g'}",
All Star Meals,,Double Cheeseburger & Spicy Chicken All Star Meal,"Charbroiled double cheeseburger on a plain bun, spicy chicken sandwich on a plain bun, fries, small drink and fresh-baked chocolate chip cookie","{'Serving Size': '473g', 'Calories': '1320', 'Calories from Fat': '630', 'Fat': '70g', 'Saturated Fat': '21g', 'Trans Fat': '1.5g', 'Cholesterol': '110mg', 'Sodium': '2850mg', 'Carbohydrates': '138g', 'Dietary Fiber': '8g', 'Sugars': '27g', 'Protein': '37g'}",
