Category,Sub Category,Name,Description,Nutritional value,Allergens
Charbroiled Burgers,,The 1/3lb. Guacamole Bacon Thickburger®,"A 1/3 lb. Charbroiled Angus Beef Patty, Guacamole, Two Strips of Bacon, Melted Pepper Jack Cheese, Lettuce, Two Slices of Tomato, Red Onions, and Santa Fe Sauce served on a premium bun.","{'Serving Size': '369g', 'Calories': '950', 'Calories from Fat': '600', 'Fat': '67g', 'Saturated Fat': '18g', 'Trans Fat': '2g', 'Cholesterol': '135mg', 'Sodium': '1810mg', 'Carbohydrates': '50g', 'Dietary Fiber': '3g', 'Sugars': '12g', 'Protein': '39g'}","Egg, Milk, Soy, Wheat"
Charbroiled Burgers,,The 1/2lb. Original Six Dollar Thickburger®,"A 1/2lb. Charbroiled Black Angus Beef Patty, Two Slices of Melted American Cheese, Lettuce, Two Slices of Tomato, Red Onions, Pickles, Mustard, Mayonnaise and Ketchup, served on a premium bun.","{'Serving Size': '401g', 'Calories': '980', 'Calories from Fat': '580', 'Fat': '64g', 'Saturated Fat': '23g', 'Trans Fat': '2.5g', 'Cholesterol': '165mg', 'Sodium': '2240mg', 'Carbohydrates': '58g', 'Dietary Fiber': '3g', 'Sugars': '13g', 'Protein': '47g'}","Egg, Milk, Soy, Wheat"
Charbroiled Burgers,,The 1/3lb. Original Six Dollar Thickburger®,"A 1/3lb. Charbroiled Angus Beef Patty, Melted American Cheese, Lettuce, Two Slices of Tomato, Red Onions, Pickles, Mustard, Mayonnaise and Ketchup, served on a Premium Bun.","{'Serving Size': '338g', 'Calories': '780', 'Calories from Fat': '430', 'Fat': '48g', 'Saturated Fat': '15g', 'Trans Fat': '2g', 'Cholesterol': '140mg', 'Sodium': '1380mg', 'Carbohydrates': '56g', 'Dietary Fiber': '3g', 'Sugars': '12g', 'Protein': '47g'}",Egg
Charbroiled Burgers,,The Really Big Carl®,"Three charbroiled beef patties, our classic sauce, three slices of American cheese, and lettuce all on a seeded bun.","{'Serving Size': '0g', 'Calories': '0', 'Calories from Fat': '0', 'Fat': '0g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '0mg', 'Carbohydrates': '0g', 'Dietary Fiber': '0g', 'Sugars': '0g', 'Protein': '0g'}",
Charbroiled Burgers,,The Big Carl®,"Two charbroiled beef patties, our classic sauce, two slices of American cheese, and lettuce all on a seeded bun.","{'Serving Size': '321g', 'Calories': '920', 'Calories from Fat': '520', 'Fat': '58g', 'Saturated Fat': '23g', 'Trans Fat': '2g', 'Cholesterol': '140mg', 'Sodium': '1380mg', 'Carbohydrates': '56g', 'Dietary Fiber': '3g', 'Sugars': '12g', 'Protein': '47g'}","Egg, Wheat"
Charbroiled Burgers,,Beyond BBQ Cheeseburger,"Our 100% plant-based Beyond Burger™, charbroiled over an open flame and topped with melted American cheese, two crispy onion rings and with our tangy BBQ sauce on a toasted seeded bun.","{'Serving Size': '0g', 'Calories': '0', 'Calories from Fat': '0', 'Fat': '0g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '0mg', 'Sodium': '0mg', 'Carbohydrates': '0g', 'Dietary Fiber': '0g', 'Sugars': '0g', 'Protein': '0g'}",
Charbroiled Burgers,,Double Western Bacon Cheeseburger®,"Two Charbroiled All-Beef Patties, Two Strips of Bacon, Two Slices of Melted American Cheese, Crispy Onion Rings and Tangy BBQ Sauce on a seeded bun.","{'Serving Size': '332g', 'Calories': '1010', 'Calories from Fat': '490', 'Fat': '55g', 'Saturated Fat': '24g', 'Trans Fat': '2g', 'Cholesterol': '150mg', 'Sodium': '1980mg', 'Carbohydrates': '76g', 'Dietary Fiber': '4g', 'Sugars': '16g', 'Protein': '55g'}","Milk, Soy, Wheat"
Charbroiled Burgers,,Western Bacon Cheeseburger ®,"Charbroiled All-Beef Patty, Two Strips of Bacon, Melted American Cheese, Two Crispy Onion Rings and Tangy BBQ Sauce on a seeded bun.","{'Serving Size': '250g', 'Calories': '750', 'Calories from Fat': '320', 'Fat': '35g', 'Saturated Fat': '14g', 'Trans Fat': '1g', 'Cholesterol': '80mg', 'Sodium': '1650mg', 'Carbohydrates': '75g', 'Dietary Fiber': '4g', 'Sugars': '16g', 'Protein': '36g'}","Milk, Soy, Wheat"
Charbroiled Burgers,,Super Star® with Cheese,"Two Charbroiled All-Beef Patties, Two Slices of American Cheese, Lettuce, Two Slices of Tomato, Sliced Onions, Dill Pickles, Special Sauce, and Mayonnaise on a seeded bun.","{'Serving Size': '390g', 'Calories': '920', 'Calories from Fat': '510', 'Fat': '56g', 'Saturated Fat': '23g', 'Trans Fat': '2g', 'Cholesterol': '140mg', 'Sodium': '1540mg', 'Carbohydrates': '59g', 'Dietary Fiber': '4g', 'Sugars': '13g', 'Protein': '48g'}","Egg, Wheat"
Charbroiled Burgers,,Famous Star® with Cheese ,"Charbroiled All-Beef Patty, Melted American Cheese, Lettuce, Tomato, Sliced Onions, Dill Pickles, Special Sauce, and Mayonnaise on a seeded bun.","{'Serving Size': '284g', 'Calories': '670', 'Calories from Fat': '330', 'Fat': '37g', 'Saturated Fat': '13g', 'Trans Fat': '1g', 'Cholesterol': '75mg', 'Sodium': '1210mg', 'Carbohydrates': '57g', 'Dietary Fiber': '3g', 'Sugars': '12g', 'Protein': '28g'}","Egg, Wheat"
Charbroiled Burgers,,Beyond Famous Star® with cheese,The new Beyond Famous Star features a 100% plant based Beyond Burger® patty on our iconic Famous Star® build. It’s a healthier option especially for those that do not want to sacrifice burgers but want to eat less meat. ,"{'Serving Size': '311g', 'Calories': '710', 'Calories from Fat': '360', 'Fat': '40g', 'Saturated Fat': '0g', 'Trans Fat': '0g', 'Cholesterol': '30mg', 'Sodium': '1550mg', 'Carbohydrates': '61g', 'Dietary Fiber': '5g', 'Sugars': '12g', 'Protein': '30g'}","Egg, Milk, Peas, Wheat"
Breakfast,Burritos and more,The Breakfast Burger™,"Charbroiled All-Beef Patty, Egg, Bacon, American Cheese, Hash Rounds®, and Ketchup on a seeded bun.","{'Serving Size': '256g', 'Calories': '730', 'Calories from Fat': '390', 'Fat': '43g', 'Saturated Fat': '16g', 'Trans Fat': '1g', 'Cholesterol': '240mg', 'Sodium': '1290mg', 'Carbohydrates': '47g', 'Dietary Fiber': '3g', 'Sugars': '10g', 'Protein': '37g'}","Egg, Soy, Wheat"
Breakfast,Burritos and more,Bacon & Egg Burrito,"Scrambled Eggs, Two Strips of Bacon, Shredded Cheese, Wrapped in a Warm Flour Tortilla.","{'Serving Size': '207g', 'Calories': '570', 'Calories from Fat': '30', 'Fat': '35g', 'Saturated Fat': '125g', 'Trans Fat': '0g', 'Cholesterol': '360mg', 'Sodium': '1000mg', 'Carbohydrates': '32g', 'Dietary Fiber': '1g', 'Sugars': '1g', 'Protein': '29g'}","Egg, Soy, Wheat"
