Fazoli's  13201 Ranch Road 620 N Suite S  Austin  TX 78717
Timing: 3:00PM - 9:30PM

Name,ID,Category,Description,Price,Calories,Suggested Item
Chocolate Chunk Brownie,104413295.0,Desserts,Chewy Chocolate Brownie made with Ghirardelli Chocolate.,1.69,,"['Meatballs', 'Caesar Side Salad', 'Extra Breadsticks (Half Dozen)']"
Chocolate Chunk Cookie,104413298.0,Desserts,Soft and chewy Chocolate Chunk Cookies.,1.69,,"['Triple Chocolate Cheesecake', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Classic Sampler,104413293.0,Samplers,"Fettuccine alfredo, lasagna with meat sauce, spaghetti and meatball.  ",7.99,820,"['Triple Chocolate Cheesecake', 'Roasted Chicken', 'Caesar Side Salad']"
Creamy Basil Chicken Penne=>Chicken,104413243.0,Popular Items/Signature Pasta Bakes,"Pesto alfredo, chicken, roasted tomatoes.  ",8.49,840,"['Triple Chocolate Cheesecake', 'Italian Sausage', 'Extra Breadsticks (Half Dozen)']"
Creamy Basil Chicken Penne=>Sausage,104413243.0,Popular Items/Signature Pasta Bakes,"Pesto alfredo, chicken, roasted tomatoes.  ",8.49,840,"['Triple Chocolate Cheesecake', 'Italian Sausage', 'Extra Breadsticks (Half Dozen)']"
Double Slice of Pizza=>Cheese,104413248.0,Pizza,Cheese or pepperoni.,5.29,,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Double Slice of Pizza=>Pepperoni,104413248.0,Pizza,Cheese or pepperoni.,5.29,,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Extra Breadsticks (Dozen),104413265.0,Sides and Extras,,5.29,,"['Caesar Side Salad', 'Meatballs', 'Extra Breadsticks (Half Dozen)']"
Extra Breadsticks (Half Dozen),104413264.0,Sides and Extras,,3.29,,"['Triple Chocolate Cheesecake', 'Caesar Side Salad', 'Meatballs']"
Fettuccine Alfredo,104413280.0,Popular Items/Fazoli's Fan Favorites,Fettuccine pasta topped with Alfredo Sauce. Vegetarian friendly.  ,6.89,690,"['Broccoli', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
