Values_mod,Item_mod,Item,Attribute,Values,Attribute_mod,Values_mod
pepperoni,pasta,pastas,Topping,"Italian Meatballs, Grape Tomatoes, Sausage, Garlic-Roasted Mushrooms, Bacon, peas, black pepper, House-Roasted Chicken, Roasted Chicken, Fresh Spinach, Broccoli, Fire-Roasted Tomatoes, Pepperoni",top,pepperoni
vegetable,salad,salads,Type,Vegetable and Non Vegetable.,type,vegetable
non vegetable,salad,salads,Type,Vegetable and Non Vegetable.,type,non vegetable
,salad,salads,Type,Vegetable and Non Vegetable.,type,
romain lettuce,salad,salads,Base,Romain lettuce,base,romain lettuce
house-roasted chicken,salad,salads,Toppings,"house-roasted chicken, crispy bacon, grape tomatoes, crunchy Focaccia croutons, red onion",Toppings,house-roasted chicken
crispy bacon,salad,salads,Toppings,"house-roasted chicken, crispy bacon, grape tomatoes, crunchy Focaccia croutons, red onion",Toppings,crispy bacon
grape tomatoes,salad,salads,Toppings,"house-roasted chicken, crispy bacon, grape tomatoes, crunchy Focaccia croutons, red onion",Toppings,grape tomatoes
crunchy focaccia croutons,salad,salads,Toppings,"house-roasted chicken, crispy bacon, grape tomatoes, crunchy Focaccia croutons, red onion",Toppings,crunchy focaccia croutons
red onion,salad,salads,Toppings,"house-roasted chicken, crispy bacon, grape tomatoes, crunchy Focaccia croutons, red onion",Toppings,red onion
shaved parmesan,salad,salads,Cheese,"shaved Parmesan, Mozzarella",cheese,shaved parmesan
mozzarella,salad,salads,Cheese,"shaved Parmesan, Mozzarella",cheese,mozzarella
,salad,salads,Sauce,,sauce,
caesar,salad,salads,Dressing,Caesar,dressing,caesar
vegetable,subway,subway,Type,Vegetable and Non Vegetable.,type,vegetable
non vegetable,subway,subway,Type,Vegetable and Non Vegetable.,type,non vegetable
,subway,subway,Type,Vegetable and Non Vegetable.,type,
garlic sub roll,subway,subway,Base,Garlic sub roll,base,garlic sub roll
meatballs,subway,subway,Toppings,"Meatballs, Pepperoni, Genoa Salami, Capicola, Ham, Smoked Turkey, crispy Bacon",Toppings,meatballs
pepperoni,subway,subway,Toppings,"Meatballs, Pepperoni, Genoa Salami, Capicola, Ham, Smoked Turkey, crispy Bacon",Toppings,pepperoni
genoa salami,subway,subway,Toppings,"Meatballs, Pepperoni, Genoa Salami, Capicola, Ham, Smoked Turkey, crispy Bacon",Toppings,genoa salami
capicola,subway,subway,Toppings,"Meatballs, Pepperoni, Genoa Salami, Capicola, Ham, Smoked Turkey, crispy Bacon",Toppings,capicola
ham,subway,subway,Toppings,"Meatballs, Pepperoni, Genoa Salami, Capicola, Ham, Smoked Turkey, crispy Bacon",Toppings,ham
smoked turkey,subway,subway,Toppings,"Meatballs, Pepperoni, Genoa Salami, Capicola, Ham, Smoked Turkey, crispy Bacon",Toppings,smoked turkey
crispy bacon,subway,subway,Toppings,"Meatballs, Pepperoni, Genoa Salami, Capicola, Ham, Smoked Turkey, crispy Bacon",Toppings,crispy bacon
sliced mozzarella cheese,subway,subway,Cheese,sliced Mozzarella cheese,cheese,sliced mozzarella cheese
parmesan peppercorn ranch,subway,subway,Dressing,Parmesan Peppercorn Ranch,dressing,parmesan peppercorn ranch
vegetable,pizza,pizzas,Type,Vegetable and Non Vegetable.,type,vegetable
non vegetable,pizza,pizzas,Type,Vegetable and Non Vegetable.,type,non vegetable
,pizza,pizzas,Type,Vegetable and Non Vegetable.,type,
hand tossed,pizza,pizzas,Crust,"Hand tossed, Gluten free, Brooklyn style, handmade pan, crunchy thin crust",Crust,hand tossed
gluten free,pizza,pizzas,Crust,"Hand tossed, Gluten free, Brooklyn style, handmade pan, crunchy thin crust",Crust,gluten free
brooklyn style,pizza,pizzas,Crust,"Hand tossed, Gluten free, Brooklyn style, handmade pan, crunchy thin crust",Crust,brooklyn style
handmade pan,pizza,pizzas,Crust,"Hand tossed, Gluten free, Brooklyn style, handmade pan, crunchy thin crust",Crust,handmade pan
crunchy thin crust,pizza,pizzas,Crust,"Hand tossed, Gluten free, Brooklyn style, handmade pan, crunchy thin crust",Crust,crunchy thin crust
small,pizza,pizzas,Size,"Small, Large, Medium and Extra large,",Size,small
large,pizza,pizzas,Size,"Small, Large, Medium and Extra large,",Size,large
medium,pizza,pizzas,Size,"Small, Large, Medium and Extra large,",Size,medium
extra large,pizza,pizzas,Size,"Small, Large, Medium and Extra large,",Size,extra large
,pizza,pizzas,Size,"Small, Large, Medium and Extra large,",Size,
hot sauce,pizza,pizzas,Veg Toppings,"Hot Sauce, Jalapeno Peppers, Onions, Banana Peppers, Diced Tomatoes, Black Olives, Mushrooms, Pineapple, Green Peppers, Spinach, Roasted Red Peppers",veg,hot sauce
jalapeno peppers,pizza,pizzas,Veg Toppings,"Hot Sauce, Jalapeno Peppers, Onions, Banana Peppers, Diced Tomatoes, Black Olives, Mushrooms, Pineapple, Green Peppers, Spinach, Roasted Red Peppers",veg,jalapeno peppers
onions,pizza,pizzas,Veg Toppings,"Hot Sauce, Jalapeno Peppers, Onions, Banana Peppers, Diced Tomatoes, Black Olives, Mushrooms, Pineapple, Green Peppers, Spinach, Roasted Red Peppers",veg,onions
banana peppers,pizza,pizzas,Veg Toppings,"Hot Sauce, Jalapeno Peppers, Onions, Banana Peppers, Diced Tomatoes, Black Olives, Mushrooms, Pineapple, Green Peppers, Spinach, Roasted Red Peppers",veg,banana peppers
diced tomatoes,pizza,pizzas,Veg Toppings,"Hot Sauce, Jalapeno Peppers, Onions, Banana Peppers, Diced Tomatoes, Black Olives, Mushrooms, Pineapple, Green Peppers, Spinach, Roasted Red Peppers",veg,diced tomatoes
black olives,pizza,pizzas,Veg Toppings,"Hot Sauce, Jalapeno Peppers, Onions, Banana Peppers, Diced Tomatoes, Black Olives, Mushrooms, Pineapple, Green Peppers, Spinach, Roasted Red Peppers",veg,black olives
